Bachūras,vaikinas
Kroksai,guminių klumpių firma
  Totalus,visiškas
LOL,trumpinys reiškiantis garsų juoką (Laughing Out Loud)
  Seneliumbas
  Vatnikas,žmogus remiantis rusijos politiką
  Alpha,vadovaujantis gaujos patinas
  Sigma
  Selfis,asmenukė
  Xd,emotikonas reiškiantis juoką
  Lmao,trump. laugh my ass off
  Tbh,trup. to be honest
  Būmeris,pasenusių pažiūrų žmogus
  Zūmeris,jaunuolis
  Garinti,rūkyti el. cigaretes
  Cizai,cigaretės
  Amogus,kompiuterinio žaidimo "Amongus" veikėjas
  SUS,įtartinas
  Bingchilling

